Generacja 1
1868320.2457373512, 11, 1.672510257E10
Generacja 100
1992063.9025785408, 22, 3.6979357548E10
Nadir:,4380, 5627853.298105771
Ideal:,4380000, 39570.92524821728

First population front
Czas podrozy, Zarobek, Stworzony w generacji
2304690.1157537596, 522970, 1
2341677.6171202348, 531389, 1
2384386.003257625, 533117, 1
2465890.4655445544, 541499, 1
2625125.113841642, 542672, 0
2642801.2842298215, 543286, 1
2658946.817649054, 543518, 0
2695646.2173537114, 544734, 1
2743594.629901799, 545702, 1
2749921.830295626, 546716, 0
2775278.998832899, 547295, 1

Middle population front

Last population front
Czas podrozy, Zarobek, Stworzony w generacji
2205693.154109885, 518959, 21
2239414.4877144382, 518998, 7
2241505.5383853773, 524495, 73
2242498.5251422827, 527961, 49
2277544.009234606, 529147, 37
2330349.7249276526, 531560, 68
2332168.0212084167, 533692, 49
2346093.2577413484, 536481, 25
2372454.8024144103, 537525, 92
2389367.7816862073, 538164, 53
2410496.590147537, 539034, 22
2433702.5195699884, 539760, 52
2434709.397349697, 545732, 44
2492926.000030274, 547383, 64
2512839.991762883, 549593, 21
2610126.6560053364, 549718, 46
2624781.6218574625, 550828, 78
2651559.4886751682, 551435, 79
2652376.4533467703, 552398, 72
2675329.7405508296, 553020, 86
2702559.052965036, 557312, 76
2781636.54787532, 558695, 93

